miasto,powiat,wojewodztwo,powierzchnia,ludnosc,szer,dlug
Zielona Góra,Zielona Góra,lubuskie,27826,140892,51.939722,15.505
Gorzów Wielkopolski,Gorzów Wielkopolski,lubuskie,8572,122589,52.730833,15.238333
Nowa Sól,nowosolski,lubuskie,2180,38191,51.803333,15.717222
Świebodzin,świebodziński,lubuskie,1693,21550,52.247222,15.533611
Kostrzyn nad Odrą,gorzowski,lubuskie,4614,17704,52.583333,14.666667
Międzyrzecz,międzyrzecki,lubuskie,1026,17667,52.443056,15.578611
Słubice,słubicki,lubuskie,1921,16623,52.35,14.566667
Sulechów,zielonogórski,lubuskie,688,16592,52.083333,15.616667
Gubin,krośnieński,lubuskie,2068,16528,51.95,14.716667
Lubsko,żarski,lubuskie,1251,13733,51.789167,14.971111
Wschowa,wschowski,lubuskie,925,13717,51.8,16.316667
Szprotawa,żagański,lubuskie,1095,11530,51.566667,15.533333
Krosno Odrzańskie,krośnieński,lubuskie,815,11155,52.054722,15.095278
Sulęcin,sulęciński,lubuskie,856,10005, 52.4413768,15.1161501
Drezdenko,strzelecko-drezdenecki,lubuskie,1072,9978,52.833333,15.833333
Strzelce Krajeńskie,strzelecko-drezdenecki,lubuskie,554,9833,52.875,15.529167
Skwierzyna,międzyrzecki,lubuskie,3589,9454,52.597222,15.516667
Kożuchów,nowosolski,lubuskie,594,9337,51.75,15.6
Witnica,gorzowski,lubuskie,824,6666,52.6729399,14.8972121
Rzepin,słubicki,lubuskie,1142,6485,52.35,14.816667
Nowogród Bobrzański,zielonogórski,lubuskie,1463,5060,51.816667,15.233333
Zbąszynek,świebodziński,lubuskie,358,4997,52.25,15.816667
Sława,wschowski,lubuskie,1490,4268,51.883333,16.066667
Bytom Odrzański,nowosolski,lubuskie,230,4244,51.733333,15.816667
Jasień,żarski,lubuskie,479,4215,51.75,15
Czerwieńsk,zielonogórski,lubuskie,936,3947,52,15.433333
Babimost,zielonogórski,lubuskie,365,3901,52.165312,15.8285175
Ośno Lubuskie,słubicki,lubuskie,801,3896,52.45,14.883333
Iłowa,żagański,lubuskie,918,3844,51.5,15.2
Kargowa,zielonogórski,lubuskie,455,3774,52.066667,15.866667
Małomice,żagański,lubuskie,675,3496,51.6,15.3
Dobiegniew,strzelecko-drezdenecki,lubuskie,569,3017,52.966667,15.75
Gozdnica,żagański,lubuskie,2392,2977,51.5,15
Cybinka,słubicki,lubuskie,529,2768,52.2,14.8
Nowe Miasteczko,nowosolski,lubuskie,329,2724,51.7,15.716667
Torzym,sulęciński,lubuskie,911,2520,52.316667,15.083333
Łęknica,żarski,lubuskie,1643,2396,51.533333,14.733333
Trzciel,międzyrzecki,lubuskie,304,2339,52.383333,15.866667
Lubniewice,sulęciński,lubuskie,1211,2080,52.583333,15.25
Otyń,nowosolski,lubuskie,786,1641,51.816667,15.716667
Szlichtyngowa,wschowski,lubuskie,155,1266,51.7,16.2
Brody,żarski,lubuskie,307,889,51.7867086,14.7743044
Żagań,żagański,lubuskie,4038,25265,51.616667,15.316667
Żary,żarski,lubuskie,3349,37052,51.642222,15.1375
